,0
person_id,int64
age,int64
sex,str
region,str
urban_rural,str
income,float64
education,str
marital_status,str
employment_status,str
household_size,int64
dependents,int64
bmi,float64
smoker,str
alcohol_freq,str
visits_last_year,int64
hospitalizations_last_3yrs,int64
days_hospitalized_last_3yrs,int64
medication_count,int64
systolic_bp,float64
diastolic_bp,float64
ldl,float64
hba1c,float64
plan_type,str
network_tier,str
deductible,int64
copay,int64
policy_term_years,int64
policy_changes_last_2yrs,int64
provider_quality,float64
risk_score,float64
annual_medical_cost,float64
annual_premium,float64
monthly_premium,float64
claims_count,int64
avg_claim_amount,float64
total_claims_paid,float64
chronic_count,int64
hypertension,int64
diabetes,int64
asthma,int64
copd,int64
cardiovascular_disease,int64
cancer_history,int64
kidney_disease,int64
liver_disease,int64
arthritis,int64
mental_health,int64
proc_imaging_count,int64
proc_surgery_count,int64
proc_physio_count,int64
proc_consult_count,int64
proc_lab_count,int64
is_high_risk,int64
had_major_procedure,int64
